Security Code,Security Name,Category of person,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Price,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Exchange on which the Trade was executed,Reported to Exchange
532331,AJANTA PHARMA LTD.,Designated Person,1100,1648174,,Disposal,NSE,12-Jun-23
532331,AJANTA PHARMA LTD.,Designated Person,1500,2056405,,Disposal,NSE,9-Jun-23
532331,AJANTA PHARMA LTD.,Designated Person,8250,10374464,,Disposal,NSE,29-May-23
532331,AJANTA PHARMA LTD.,Designated Person,2250,2878543,,Disposal,NSE,25-May-23
532331,AJANTA PHARMA LTD.,Designated Person,616,784014,,Disposal,NSE,22-May-23
532331,AJANTA PHARMA LTD.,Designated Person,1072,1382022,,Disposal,NSE,22-May-23
532331,AJANTA PHARMA LTD.,Designated Person,1812,2309032,,Disposal,NSE,18-May-23
532331,AJANTA PHARMA LTD.,Designated Person,500,635275,,Disposal,NSE,17-May-23
532331,AJANTA PHARMA LTD.,Designated Person,1000,1266800,,Disposal,NSE,17-May-23
532351,AKSH OPTIFIBRE LTD.,Promoter & Director,246460,2049829,,Disposal,NSE,30-Jun-23
532351,AKSH OPTIFIBRE LTD.,Promoter & Director,400000,3335719,,Disposal,NSE,21-Jun-23
532351,AKSH OPTIFIBRE LTD.,Promoter & Director,570000,4794000,,Disposal,NSE,19-Jun-23
533573,ALEMBIC PHARMACEUTICALS LTD.,Promoter Group,50000,0,0,Acquisition,NA,1-Jun-23
533573,ALEMBIC PHARMACEUTICALS LTD.,Promoter Group,50000,0,0,Disposal,NA,1-Jun-23
531147,Alicon Castalloy Limited,KMP,2555,2075000,,Disposal,NSE,6-Jul-23
531147,Alicon Castalloy Limited,KMP,3015,2239000,,Disposal,NSE,30-Jun-23
531147,Alicon Castalloy Limited,KMP,3088,24,,Disposal,NSE,26-Jun-23
531147,Alicon Castalloy Limited,KMP,3118,2341000,,Disposal,NSE,26-Jun-23
531147,Alicon Castalloy Limited,KMP,2045,1580000,,Disposal,NSE,20-Jun-23
531147,Alicon Castalloy Limited,KMP,6450,48,,Disposal,NSE,19-Jun-23
531147,Alicon Castalloy Limited,KMP,2500,19,,Disposal,NSE,12-Jun-23
506767,ALKYL AMINES CHEMICALS LTD.-$,Director,134,351977,,Disposal,NSE,29-Jun-23
506767,ALKYL AMINES CHEMICALS LTD.-$,Directors Immediate Relative,510,1339613,,Disposal,NSE,29-Jun-23
506767,ALKYL AMINES CHEMICALS LTD.-$,Director,1700,4505000,,Disposal,NSE,17-Jun-23
506767,ALKYL AMINES CHEMICALS LTD.-$,Employee,750,1986050,,Disposal,NSE,15-Jun-23
506767,ALKYL AMINES CHEMICALS LTD.-$,Employee,39,100425,,Disposal,NSE,15-Jun-23
506767,ALKYL AMINES CHEMICALS LTD.-$,Employee,350,957250,,Disposal,NSE,15-Jun-23
506767,ALKYL AMINES CHEMICALS LTD.-$,Employee,1000,2502329,,Disposal,NSE,8-Jun-23
506767,ALKYL AMINES CHEMICALS LTD.-$,Employee,419,1063870,,Disposal,NSE,22-May-23
506767,ALKYL AMINES CHEMICALS LTD.-$,Employee,312,794252,,Disposal,NSE,22-May-23
506767,ALKYL AMINES CHEMICALS LTD.-$,Employee,800,2033601,,Disposal,NSE,18-May-23
506767,ALKYL AMINES CHEMICALS LTD.-$,Employee,888,2261390,,Disposal,NSE,18-May-23
532875,ALLIED DIGITAL SERVICES LTD.,Designated Person,25000,2105827,,Disposal,NSE,5-Jun-23
,,,,,,,,
,,,,,,,,
,,,,,,,,
541771,Amin Tannery Ltd,Connected Person,32262439,32262439,1,Revoke,NA,28-Jul-23
541771,Amin Tannery Ltd,Other,32262439,32262439,,Revoke,,27-Jul-23
531223,ANJANI SYNTHETICS LTD.-$,Promoter Group,789455,0,0,Acquisition,NA,26-May-23
532259,APAR INDUSTRIES LTD.,Promoter Group,25500,71828757,,Acquisition,NSE,9-Jun-23
532259,APAR INDUSTRIES LTD.,Promoter Group,25500,71685395,,Disposal,NSE,9-Jun-23
508869,APOLLO HOSPITALS ENTERPRISE LTD.,Promoter,685000,3456133250,5045.45,Revoke,NA,26-Jun-23
508869,APOLLO HOSPITALS ENTERPRISE LTD.,Promoter,680000,3480800000,5118.823529,Pledge,NA,23-Jun-23
508869,APOLLO HOSPITALS ENTERPRISE LTD.,Promoter,135385,706500000,5218.451084,Revoke,NA,22-Jun-23
508869,APOLLO HOSPITALS ENTERPRISE LTD.,Promoter,135385,706500000,5218.451084,Invoke,NA,22-Jun-23
511605,ARIHANT CAPITAL MARKETS LTD.,Promoter Group,300003,14868362,49.56071106,Disposal,NSE,27-Jul-23
511605,ARIHANT CAPITAL MARKETS LTD.,Promoter Group,300003,14868362,49.56071106,Disposal,NSE,27-Jul-23
531179,ARMAN FINANCIAL SERVICES LTD.,Employee,739,1562246,,Disposal,NSE,29-Jun-23
531179,ARMAN FINANCIAL SERVICES LTD.,Employee,287,603848,,Disposal,NSE,29-Jun-23
531179,ARMAN FINANCIAL SERVICES LTD.,Promoter,72,145152,,Disposal,NSE,24-Jun-23
531179,ARMAN FINANCIAL SERVICES LTD.,Promoter,500,999000,,Disposal,NSE,14-Jun-23
531179,ARMAN FINANCIAL SERVICES LTD.,Promoter,2500,4790000,,Disposal,NSE,5-Jun-23
506074,Arshiya Limited,Promoter & Director,4795000,0,0,Invoke,NA,19-May-23
542484,Arvind Fashions Ltd,Designated Person,2500,370500,148.2,Acquisition,NA,7-Jun-23
542484,Arvind Fashions Ltd,Designated Person,400,139785,,Disposal,NSE,11-Jul-23
542484,Arvind Fashions Ltd,Designated Person,1800,634536,,Disposal,NSE,1-Jul-23
542484,Arvind Fashions Ltd,Designated Person,1500,510000,,Disposal,NSE,20-Jun-23
,,,,,,,,
,,,,,,,,
526847,ASHIRWAD STEELS & INDUSTRIES LTD.,Promoter Group,55000,1210000,22,Disposal,NA,30-Jun-23
526847,ASHIRWAD STEELS & INDUSTRIES LTD.,Promoter Group,32405,712910,22,Disposal,NA,30-Jun-23
526847,ASHIRWAD STEELS & INDUSTRIES LTD.,Promoter Group,157500,3465000,22,Disposal,NA,30-Jun-23
526847,ASHIRWAD STEELS & INDUSTRIES LTD.,Promoter Group,17000,374000,22,Disposal,NA,30-Jun-23
526847,ASHIRWAD STEELS & INDUSTRIES LTD.,Promoter Group,1500,33000,22,Disposal,NA,30-Jun-23
526847,ASHIRWAD STEELS & INDUSTRIES LTD.,Promoter,10000,220000,22,Disposal,NA,30-Jun-23
526847,ASHIRWAD STEELS & INDUSTRIES LTD.,Promoter,10000,220000,22,Disposal,NA,30-Jun-23
526847,ASHIRWAD STEELS & INDUSTRIES LTD.,Promoter,3250,71500,22,Disposal,NA,30-Jun-23
526847,ASHIRWAD STEELS & INDUSTRIES LTD.,Promoter,17500,385000,22,Disposal,NA,30-Jun-23
526847,ASHIRWAD STEELS & INDUSTRIES LTD.,Promoter,20000,440000,22,Disposal,NA,30-Jun-23
526847,ASHIRWAD STEELS & INDUSTRIES LTD.,Promoter,20000,440000,22,Disposal,NA,30-Jun-23
526847,ASHIRWAD STEELS & INDUSTRIES LTD.,Promoter,5100,112200,22,Disposal,NA,30-Jun-23
526847,ASHIRWAD STEELS & INDUSTRIES LTD.,Promoter,7000,154000,22,Disposal,NA,30-Jun-23
526847,ASHIRWAD STEELS & INDUSTRIES LTD.,Promoter Group,90000,1980000,22,Disposal,NA,30-Jun-23
526847,ASHIRWAD STEELS & INDUSTRIES LTD.,Promoter Group,1500,33000,22,Disposal,NA,30-Jun-23
526847,ASHIRWAD STEELS & INDUSTRIES LTD.,Promoter Group,170000,3740000,22,Disposal,NA,30-Jun-23
526847,ASHIRWAD STEELS & INDUSTRIES LTD.,Promoter Group,50000,1100000,22,Disposal,NA,30-Jun-23
526847,ASHIRWAD STEELS & INDUSTRIES LTD.,Promoter Group,5000,110000,22,Disposal,NA,30-Jun-23
526847,ASHIRWAD STEELS & INDUSTRIES LTD.,Promoter,672755,14800610,22,Acquisition,NA,28-Jun-23
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
532888,ASIAN GRANITO INDIA LTD.,Designated Person,24500,0,0,Acquisition,NA,1-Jun-23
533138,ASTEC LIFESCIENCES LIMITED,Director,3390,4770239,,Disposal,NSE,7-Jun-23
532830,Astral Ltd,KMP,20000,0,0,Disposal,NA,1-Jul-23
532830,Astral Ltd,Designated Person,1000,1998864,,Disposal,NSE,3-Jul-23
532830,Astral Ltd,Designated Person,1000,1990000,,Disposal,NSE,3-Jul-23
532830,Astral Ltd,Other,23926,47350568,,Disposal,NSE,1-Jul-23
532830,Astral Ltd,Designated Person,1000,1966931,,Disposal,NSE,29-Jun-23
532830,Astral Ltd,Employee,750,1485750,,Disposal,NSE,15-Jun-23
532830,Astral Ltd,Employee,50000,95009843,,Disposal,NSE,7-Jun-23
532830,Astral Ltd,Immediate Relative,4333,7402296,,Disposal,NSE,26-May-23
532830,Astral Ltd,Immediate Relative,7000,12045741,,Disposal,NSE,26-May-23
532830,Astral Ltd,Immediate Relative,9533,16372873,,Disposal,NSE,26-May-23
543236,Atam Valves Ltd,KMP,722,169444,,Disposal,NSE,7-Jun-23
543236,Atam Valves Ltd,KMP,700,162000,,Disposal,NSE,6-Jun-23
531795,ATUL AUTO LTD.-$,Promoter,315488,105215248,333.5,Acquisition,NA,20-Jul-23
531795,ATUL AUTO LTD.-$,Director,1885522,373333356,198,Disposal,NA,3-Jul-23
531795,ATUL AUTO LTD.-$,Director,1885522,373333356,198,Acquisition,NA,3-Jul-23
531795,ATUL AUTO LTD.-$,Promoter,67340,13333320,198,Disposal,NA,3-Jul-23
531795,ATUL AUTO LTD.-$,Promoter,67340,13333320,198,Acquisition,NA,3-Jul-23
531795,ATUL AUTO LTD.-$,Promoter Group,218855,43333290,198,Disposal,NA,3-Jul-23
531795,ATUL AUTO LTD.-$,Promoter Group,218855,43333290,198,Acquisition,NA,3-Jul-23
540611,AU Small Finance Bank Ltd,Designated Person,1745,1308401,749.8,Acquisition,NA,28-Jun-23
540611,AU Small Finance Bank Ltd,Designated Person,2568,1986220,773.4501558,Revoke,NA,13-Jun-23
540611,AU Small Finance Bank Ltd,Designated Person,7191,5482778,762.450007,Revoke,NA,13-Jun-23
540611,AU Small Finance Bank Ltd,Designated Person,42248,32822471,776.8999953,Pledge,NA,6-Jun-23
540611,AU Small Finance Bank Ltd,Director,9098,7004550,769.899978,Acquisition,NA,29-May-23
540611,AU Small Finance Bank Ltd,Designated Person,42248,32526735,769.8999953,Acquisition,NA,29-May-23
540611,AU Small Finance Bank Ltd,Designated Person,50,37938,758.76,Revoke,NA,29-May-23
540611,AU Small Finance Bank Ltd,Designated Person,2250,1681088,747.1502222,Revoke,NA,23-May-23
540611,AU Small Finance Bank Ltd,Designated Person,2700,1925505,713.15,Revoke,NA,16-May-23
540611,AU Small Finance Bank Ltd,Designated Person,3000,2078850,692.95,Revoke,NA,16-May-23
540611,AU Small Finance Bank Ltd,Designated Person,460,305394,663.9,Acquisition,NA,16-May-23
540611,AU Small Finance Bank Ltd,Designated Person,8000,5527600,690.95,Pledge,NA,16-May-23
540611,AU Small Finance Bank Ltd,Designated Person,460,310178,674.3,Pledge,NA,16-May-23
540611,AU Small Finance Bank Ltd,Designated Person,460,325473,707.55,Revoke,NA,16-May-23
540611,AU Small Finance Bank Ltd,Designated Person,3000,2072850,690.95,Revoke,NA,16-May-23
540611,AU Small Finance Bank Ltd,Designated Person,2000,1368000,684,Disposal,NA,9-May-23
540611,AU Small Finance Bank Ltd,Designated Person,7000,4788700,684.1,Pledge,NA,9-May-23
540611,AU Small Finance Bank Ltd,Designated Person,1752,1191413,680.0302511,Revoke,NA,9-May-23
540611,AU Small Finance Bank Ltd,Designated Person,1300,981520,,Disposal,NSE,3-Jul-23
540611,AU Small Finance Bank Ltd,Immediate Relative,188,140071,,Disposal,NSE,3-Jul-23
540611,AU Small Finance Bank Ltd,Designated Person,200,151050,,Disposal,NSE,28-Jun-23
540611,AU Small Finance Bank Ltd,Designated Person,794,592800,,Disposal,NSE,28-Jun-23
540611,AU Small Finance Bank Ltd,Designated Person,3000,2279952,,Disposal,NSE,20-Jun-23
540611,AU Small Finance Bank Ltd,Designated Person,5000,3801316,,Disposal,NSE,20-Jun-23
540611,AU Small Finance Bank Ltd,Designated Person,2000,1525000,,Disposal,NSE,13-Jun-23
540611,AU Small Finance Bank Ltd,Designated Person,3000,2286468,,Disposal,NSE,9-Jun-23
540611,AU Small Finance Bank Ltd,Designated Person,200,158810,,Disposal,NSE,6-Jun-23
540611,AU Small Finance Bank Ltd,Designated Person,500,388051,,Disposal,NSE,6-Jun-23
540611,AU Small Finance Bank Ltd,Designated Person,200,158651,,Disposal,NSE,6-Jun-23
540611,AU Small Finance Bank Ltd,Designated Person,2000,1550000,,Disposal,NSE,6-Jun-23
540611,AU Small Finance Bank Ltd,Designated Person,6000,4669608,,Disposal,NSE,2-Jun-23
540611,AU Small Finance Bank Ltd,Designated Person,7000,5444806,,Disposal,NSE,2-Jun-23
540611,AU Small Finance Bank Ltd,Designated Person,5000,3879968,,Disposal,NSE,2-Jun-23
540611,AU Small Finance Bank Ltd,Designated Person,1500,1152700,,Disposal,NSE,2-Jun-23
540611,AU Small Finance Bank Ltd,Designated Person,300,232950,,Disposal,NSE,29-May-23
540611,AU Small Finance Bank Ltd,Designated Person,200,154010,,Disposal,NSE,29-May-23
540611,AU Small Finance Bank Ltd,Designated Person,400,308215,,Disposal,NSE,29-May-23
540611,AU Small Finance Bank Ltd,Designated Person,10,7130,,Disposal,NSE,29-May-23
540611,AU Small Finance Bank Ltd,Designated Person,200,151650,,Disposal,NSE,23-May-23
540611,AU Small Finance Bank Ltd,Designated Person,1500,1080854,,Disposal,NSE,23-May-23
540611,AU Small Finance Bank Ltd,Designated Person,700,524580,,Disposal,NSE,23-May-23
540611,AU Small Finance Bank Ltd,Designated Person,3000,2216517,,Disposal,NSE,20-May-23
540611,AU Small Finance Bank Ltd,Designated Person,2500,1871500,,Disposal,NSE,19-May-23
540611,AU Small Finance Bank Ltd,Designated Person,3600,2614327,,Disposal,NSE,19-May-23
540611,AU Small Finance Bank Ltd,Designated Person,1000,737242,,Disposal,NSE,19-May-23
540611,AU Small Finance Bank Ltd,Designated Person,2700,1922626,,Disposal,NSE,16-May-23
540611,AU Small Finance Bank Ltd,Designated Person,2000,1430000,,Disposal,NSE,16-May-23
540611,AU Small Finance Bank Ltd,Designated Person,460,322102,,Disposal,NSE,16-May-23
540611,AU Small Finance Bank Ltd,Designated Person,3000,2073015,,Disposal,NSE,12-May-23
540611,AU Small Finance Bank Ltd,Designated Person,1000,700000,,Disposal,NSE,12-May-23
540611,AU Small Finance Bank Ltd,Designated Person,15000,10273511,,Disposal,NSE,9-May-23
540611,AU Small Finance Bank Ltd,Designated Person,1000,690301,,Disposal,NSE,9-May-23
540611,AU Small Finance Bank Ltd,Designated Person,1752,1191413,,Disposal,NSE,9-May-23
540611,AU Small Finance Bank Ltd,Designated Person,28000,19216647,,Disposal,NSE,9-May-23
540611,AU Small Finance Bank Ltd,Designated Person,22000,15036737,,Disposal,NSE,5-May-23
540611,AU Small Finance Bank Ltd,Designated Person,20000,13658150,,Disposal,NSE,5-May-23
540611,AU Small Finance Bank Ltd,Designated Person,1000,660475,,Disposal,NSE,5-May-23
540611,AU Small Finance Bank Ltd,Designated Person,3000,2049000,,Disposal,NSE,5-May-23
540611,AU Small Finance Bank Ltd,Designated Person,15000,10172598,,Disposal,NSE,5-May-23
532668,AURIONPRO SOLUTIONS LTD.,Director,14000,11319420,,Disposal,NSE,5-Jun-23
532668,AURIONPRO SOLUTIONS LTD.,Director,2838,2122824,,Disposal,NSE,29-May-23
524804,AUROBINDO PHARMA LTD.,Promoter Group,1730000,1158062000,669.4,Pledge,NA,12-Jun-23
524804,AUROBINDO PHARMA LTD.,Promoter Group,3290000,2184560000,664,Revoke,NA,7-Jun-23
524804,AUROBINDO PHARMA LTD.,Promoter Group,2490000,1680003000,674.7,Revoke,NA,7-Jun-23
524804,AUROBINDO PHARMA LTD.,Promoter Group,2490000,1653360000,664,Revoke,NA,7-Jun-23
524804,AUROBINDO PHARMA LTD.,Promoter Group,5000000,3312500000,662.5,Pledge,NA,7-Jun-23
524804,AUROBINDO PHARMA LTD.,Promoter Group,5000000,3312500000,662.5,Pledge,NA,7-Jun-23
524804,AUROBINDO PHARMA LTD.,Employee,2250,1633815,,Disposal,NSE,30-Jun-23
524804,AUROBINDO PHARMA LTD.,Other,7000,3235960,,Acquisition,NSE,26-May-23
540376,Avenue Supermarts Ltd,Designated Person,2000,7336100,3668.05,Disposal,NA,26-Jul-23
540376,Avenue Supermarts Ltd,Designated Person,30800,9209200,299,Acquisition,NA,22-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,770,230230,299,Acquisition,NA,22-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,14000,4186000,299,Acquisition,NA,22-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,6900,2063100,299,Acquisition,NA,22-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,10000,2990000,299,Acquisition,NA,22-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,9000,2691000,299,Acquisition,NA,22-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,140000,41860000,299,Acquisition,NA,22-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,3000,897000,299,Acquisition,NA,22-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,700,209300,299,Acquisition,NA,22-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,24150,7220850,299,Acquisition,NA,22-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,23100,6906900,299,Acquisition,NA,22-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,3285,982215,299,Acquisition,NA,22-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,5200,1554800,299,Acquisition,NA,22-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,10700,3199300,299,Acquisition,NA,22-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,9600,33866400,3527.75,Pledge,NA,16-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,4500,15960600,3546.8,Pledge,NA,14-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,250,908000,3632,Revoke,NA,13-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,16000,54656000,3416,Pledge,NA,13-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,800,2904200,3630.25,Pledge,NA,13-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,16000,58107200,3631.7,Pledge,NA,13-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,11500,40733000,3542,Pledge,NA,9-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,2000,7112000,3556,Pledge,NA,9-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,13650,48538581,3555.94,Pledge,NA,8-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,150000,531000000,3540,Pledge,NA,8-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,1290,4555764,3531.6,Pledge,NA,6-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,9600,2870400,299,Acquisition,NA,6-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,12000,41999400,3499.95,Pledge,NA,6-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,50000,0,0,Disposal,NA,2-Jun-23
540376,Avenue Supermarts Ltd,KMP,10900,3259100,299,Acquisition,NA,2-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,50000,0,0,Disposal,NA,2-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,2000,598000,299,Acquisition,NA,2-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,800,239200,299,Acquisition,NA,2-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,4500,1345500,299,Acquisition,NA,2-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,16000,4784000,299,Acquisition,NA,2-Jun-23
540376,Avenue Supermarts Ltd,Designated Person,11600,3468400,299,Acquisition,NA,2-Jun-23
