Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
539017,Star Housing Finance Ltd,Anil Kumar Jain,Promoter,Equity Shares,277974,0.36,Equity Shares,3975,250544.00,Disposal,Equity,273999,0.35,26 Jul 2023,26 Jul 2023,27 Jul 2023,Market Sale,,,,,,,BSE,31 Jul 2023
524602,Bandaram Pharma Packtech Ltd,B Sathyavathi,Promoter & Director,Equity Shares,450000,15.00,Equity Shares,1350000,1350000.00,Acquisition,Equity,1800000,15.00,27 Jul 2023,27 Jul 2023,31 Jul 2023,Others,,,,,,,NA,31 Jul 2023
539017,Star Housing Finance Ltd,Anil Kumar Jain,Promoter,Equity Shares,287374,0.37,Equity Shares,9400,592670.00,Disposal,Equity,277974,0.36,25 Jul 2023,25 Jul 2023,27 Jul 2023,Market Sale,,,,,,,BSE,31 Jul 2023
532187,INDUSIND BANK LTD.,CHARIT R AGARWAL,Designated Person,Equity Shares,1060,0.00,Equity Shares,3940,3631498.00,Acquisition,Equity,5000,0.00,27 Jul 2023,27 Jul 2023,31 Jul 2023,ESOP,,,,,,,NA,31 Jul 2023
539017,Star Housing Finance Ltd,Nirmal Kumar Jain,Promoter,Equity Shares,3089687,4.00,Equity Shares,188000,11815800.00,Disposal,Equity,2901687,3.76,26 Jul 2023,26 Jul 2023,28 Jul 2023,Market Sale,,,,,,,BSE,31 Jul 2023
524602,Bandaram Pharma Packtech Ltd,B. Muniratnam Reddy,Promoter & Director,Any other instrument,1687500,14.06,Any other instrument,1687500,0.00,Disposal,-,0,0.00,27 Jul 2023,27 Jul 2023,31 Jul 2023,Others,,,,,,,NA,31 Jul 2023
539017,Star Housing Finance Ltd,Anil Kumar Jain,Promoter,Equity Shares,273999,0.35,Equity Shares,1634,102060.00,Disposal,Equity,272365,0.35,27 Jul 2023,27 Jul 2023,27 Jul 2023,Market Sale,,,,,,,BSE,31 Jul 2023
532187,INDUSIND BANK LTD.,SAILESH AGRAWAL,Designated Person,Equity Shares,950,0.00,Equity Shares,1150,1091120.00,Acquisition,Equity,2100,0.00,27 Jul 2023,27 Jul 2023,31 Jul 2023,ESOP,,,,,,,NA,31 Jul 2023
501150,CENTRUM CAPITAL LTD.,Business Match Services India  Private Limited,Promoter,Equity Shares,134499041,32.33,Equity Shares,3000000,63900000.00,Pledge,Equity,134499041,32.33,27 Jul 2023,27 Jul 2023,31 Jul 2023,Creation Of Pledge,,,,,,,NA,31 Jul 2023
524602,Bandaram Pharma Packtech Ltd,B. Deepak Reddy,Promoter & Director,Any other instrument,1350000,11.25,Any other instrument,1350000,0.00,Disposal,-,0,0.00,27 Jul 2023,27 Jul 2023,31 Jul 2023,Others,,,,,,,NA,31 Jul 2023
542760,Sterling and Wilson Renewable Energy Ltd,Shapoorji Pallonji and Company Private Limited,Promoter,Equity Shares,35196291,18.55,Equity Shares,800000,290532400.00,Disposal,Equity,34396291,18.13,26 Jul 2023,26 Jul 2023,28 Jul 2023,Market Sale,,,,,,,NSE,31 Jul 2023
532187,INDUSIND BANK LTD.,ANIL MARCO RAO,Designated Person,Equity Shares,1500,0.00,Equity Shares,8500,8064800.00,Acquisition,Equity,10000,0.00,27 Jul 2023,27 Jul 2023,31 Jul 2023,ESOP,,,,,,,NA,31 Jul 2023
540611,AU Small Finance Bank Ltd,Pankaj Sharma,Designated Person,Equity Shares,65702,0.01,Equity Shares,3430,2499304.00,Disposal,Equity,62272,0.01,28 Jul 2023,28 Jul 2023,31 Jul 2023,Market Sale,,,,,,,NSE,31 Jul 2023
524602,Bandaram Pharma Packtech Ltd,B. Muniratnam Reddy,Promoter & Director,Equity Shares,562500,18.75,Equity Shares,2362500,23625000.00,Acquisition,Equity,2925000,24.38,27 Jul 2023,27 Jul 2023,31 Jul 2023,Others,,,,,,,NA,31 Jul 2023
540611,AU Small Finance Bank Ltd,Pankaj Sharma,Designated Person,Equity Shares,72487,0.01,Equity Shares,6785,5002078.00,Disposal,Equity,65702,0.01,27 Jul 2023,27 Jul 2023,31 Jul 2023,Market Sale,,,,,,,NSE,31 Jul 2023
532187,INDUSIND BANK LTD.,GAURAV MITTAL,Designated Person,Equity Shares,13200,0.00,Equity Shares,6800,6451840.00,Acquisition,Equity,20000,0.00,27 Jul 2023,27 Jul 2023,30 Jul 2023,ESOP,,,,,,,NA,31 Jul 2023
540611,AU Small Finance Bank Ltd,Shatrughan Singh Bhati,Designated Person,Equity Shares,3500,0.00,Equity Shares,2000,1473153.00,Disposal,Equity,1500,0.00,27 Jul 2023,27 Jul 2023,31 Jul 2023,Market Sale,,,,,,,NSE,31 Jul 2023
524602,Bandaram Pharma Packtech Ltd,B. Premsai Reddy,Promoter & Director,Any other instrument,1350000,11.25,Any other instrument,1350000,0.00,Disposal,-,0,0.00,27 Jul 2023,27 Jul 2023,31 Jul 2023,Others,,,,,,,NA,31 Jul 2023
540611,AU Small Finance Bank Ltd,Pankaj Sharma,Designated Person,Equity Shares,75937,0.01,Equity Shares,3450,2504967.00,Disposal,Equity,72487,0.01,25 Jul 2023,25 Jul 2023,27 Jul 2023,Market Sale,,,,,,,NSE,31 Jul 2023
532187,INDUSIND BANK LTD.,SANJEET KUMAR ANAND,Designated Person,Equity Shares,0,0.00,Equity Shares,2600,2466880.00,Acquisition,Equity,2600,0.00,27 Jul 2023,27 Jul 2023,31 Jul 2023,ESOP,,,,,,,NA,31 Jul 2023
521070,ALOK INDUSTRIES LTD.,Manjari Nagori,Immediate Relative,Equity Shares,80000,0.00,Equity Shares,80000,1212000.00,Disposal,Equity,0,0.00,26 Jul 2023,26 Jul 2023,28 Jul 2023,Market Sale,,,,,,,NSE,31 Jul 2023
524602,Bandaram Pharma Packtech Ltd,B. Deepak Reddy,Promoter & Director,Equity Shares,450000,15.00,Equity Shares,1350000,1350000.00,Acquisition,Equity,1800000,15.00,27 Jul 2023,27 Jul 2023,31 Jul 2023,Others,,,,,,,NA,31 Jul 2023
532187,INDUSIND BANK LTD.,BIJAYANANDA PATTANAYAK,Designated Person,Equity Shares,139100,0.02,Equity Shares,2000,2073200.00,Acquisition,Equity,141100,0.02,27 Jul 2023,27 Jul 2023,31 Jul 2023,ESOP,,,,,,,NA,31 Jul 2023
524602,Bandaram Pharma Packtech Ltd,B. Premsai Reddy,Promoter & Director,Equity Shares,450000,15.00,Equity Shares,1350000,1350000.00,Acquisition,Equity,1800000,15.00,27 Jul 2023,27 Jul 2023,31 Jul 2023,Others,,,,,,,NA,31 Jul 2023
532187,INDUSIND BANK LTD.,V Ravi Kumar Reddy,Designated Person,Equity Shares,1,0.00,Equity Shares,8614,12188810.00,Acquisition,Equity,8615,0.00,27 Jul 2023,27 Jul 2023,31 Jul 2023,ESOP,,,,,,,NA,31 Jul 2023
524602,Bandaram Pharma Packtech Ltd,L. Lalanthika,Promoter,Equity Shares,112500,3.75,Equity Shares,337500,3375000.00,Acquisition,Equity,450000,3.75,27 Jul 2023,27 Jul 2023,31 Jul 2023,Others,,,,,,,NA,31 Jul 2023
532187,INDUSIND BANK LTD.,GAURAV MITTAL,Designated Person,Equity Shares,0,0.00,Equity Shares,13200,6532680.00,Acquisition,Equity,13200,0.00,27 Jul 2023,27 Jul 2023,30 Jul 2023,ESOP,,,,,,,NA,31 Jul 2023
524602,Bandaram Pharma Packtech Ltd,L. Lalanthika,Promoter,Any other instrument,337500,2.81,Any other instrument,337500,0.00,Disposal,-,0,0.00,27 Jul 2023,27 Jul 2023,31 Jul 2023,Others,,,,,,,NA,31 Jul 2023
532187,INDUSIND BANK LTD.,J SRIDHARAN,Designated Person,Equity Shares,23800,0.00,Equity Shares,3400,3225920.00,Acquisition,Equity,27200,0.00,27 Jul 2023,27 Jul 2023,31 Jul 2023,ESOP,,,,,,,NA,31 Jul 2023
524602,Bandaram Pharma Packtech Ltd,M. Sukumari,Promoter,Any other instrument,337500,2.81,Any other instrument,337500,0.00,Disposal,-,0,0.00,27 Jul 2023,27 Jul 2023,31 Jul 2023,Others,,,,,,,NA,31 Jul 2023
532187,INDUSIND BANK LTD.,BAL KRISHNA TRIPATHI,Designated Person,Equity Shares,27100,0.00,Equity Shares,1650,1506285.00,Acquisition,Equity,28750,0.00,27 Jul 2023,27 Jul 2023,30 Jul 2023,ESOP,,,,,,,NA,31 Jul 2023
524602,Bandaram Pharma Packtech Ltd,M Seetharama Reddy,Promoter,Any other instrument,337500,2.81,Any other instrument,337500,0.00,Disposal,-,0,0.00,27 Jul 2023,27 Jul 2023,31 Jul 2023,Others,,,,,,,NA,31 Jul 2023
532187,INDUSIND BANK LTD.,MANABESH HOTA,Designated Person,Equity Shares,0,0.00,Equity Shares,1510,1432688.00,Acquisition,Equity,1510,0.00,27 Jul 2023,27 Jul 2023,31 Jul 2023,ESOP,,,,,,,NA,31 Jul 2023
514060,Evergreen Textiles Limited,PODAR INFOTECH & ENTERTAINMENT LIMITED,Promoter,Equity Shares,514297,10.71,Equity Shares,514297,745730.00,Disposal,Equity,0,0.00,31 Jul 2023,31 Jul 2023,31 Jul 2023,Off Market,,,,,,,BSE,31 Jul 2023
532187,INDUSIND BANK LTD.,UMA CHANDRASEKHAR,Designated Person,Equity Shares,37562,0.01,Equity Shares,3000,2846400.00,Acquisition,Equity,40562,0.01,27 Jul 2023,27 Jul 2023,31 Jul 2023,ESOP,,,,,,,NA,31 Jul 2023
532187,INDUSIND BANK LTD.,SOUMITRA SEN,Designated Person,Equity Shares,260089,0.04,Equity Shares,8500,8064800.00,Acquisition,Equity,268589,0.04,27 Jul 2023,27 Jul 2023,31 Jul 2023,ESOP,,,,,,,NA,31 Jul 2023
532187,INDUSIND BANK LTD.,SAMIR DEWAN,Designated Person,Equity Shares,72000,0.01,Equity Shares,2000,2373500.00,Acquisition,Equity,74000,0.01,27 Jul 2023,27 Jul 2023,31 Jul 2023,ESOP,,,,,,,NA,31 Jul 2023
532187,INDUSIND BANK LTD.,PRATEEK RAJPUT,Designated Person,Equity Shares,2800,0.00,Equity Shares,2720,2580736.00,Acquisition,Equity,5520,0.00,27 Jul 2023,27 Jul 2023,31 Jul 2023,ESOP,,,,,,,NA,31 Jul 2023
532187,INDUSIND BANK LTD.,RAMESH GANESAN,Designated Person,Equity Shares,29900,0.00,Equity Shares,15000,18312750.00,Acquisition,Equity,44900,0.01,27 Jul 2023,27 Jul 2023,31 Jul 2023,ESOP,,,,,,,NA,31 Jul 2023
532187,INDUSIND BANK LTD.,JUDY HEREDIA,Designated Person,Equity Shares,17845,0.00,Equity Shares,2720,2580736.00,Acquisition,Equity,20565,0.00,27 Jul 2023,27 Jul 2023,31 Jul 2023,ESOP,,,,,,,NA,31 Jul 2023
532187,INDUSIND BANK LTD.,MANISH MODI,Designated Person,Equity Shares,9900,0.00,Equity Shares,6800,6451840.00,Acquisition,Equity,16700,0.00,27 Jul 2023,27 Jul 2023,31 Jul 2023,ESOP,,,,,,,NA,31 Jul 2023
532187,INDUSIND BANK LTD.,CHARU SACHDEVA MATHUR,Designated Person,Equity Shares,0,0.00,Equity Shares,5100,4838880.00,Acquisition,Equity,5100,0.00,27 Jul 2023,27 Jul 2023,31 Jul 2023,ESOP,,,,,,,NA,31 Jul 2023
532187,INDUSIND BANK LTD.,RITESH RAJ SAXENA,Designated Person,Equity Shares,3850,0.00,Equity Shares,6800,6451840.00,Acquisition,Equity,10650,0.00,27 Jul 2023,27 Jul 2023,31 Jul 2023,ESOP,,,,,,,NA,31 Jul 2023
532187,INDUSIND BANK LTD.,DHANANJAY BHARDWAJ,Designated Person,Equity Shares,8300,0.00,Equity Shares,5100,4838880.00,Acquisition,Equity,13400,0.00,27 Jul 2023,27 Jul 2023,31 Jul 2023,ESOP,,,,,,,NA,31 Jul 2023
532777,INFO EDGE (INDIA) LTD.,Info Edge Employees Stock Option Plan Trust,Trust,Equity Shares,156943,0.12,Equity Shares,4,40.00,Disposal,Equity,156939,0.12,28 Jul 2023,28 Jul 2023,28 Jul 2023,ESOP,,,,,,,NA,31 Jul 2023
533160,D B Realty Ltd,Goenka Family Trust,Promoter Group,Equity Shares,63690000,15.74,Equity Shares,3558300,274878675.00,Acquisition,Equity,67248300,16.33,28 Jul 2023,28 Jul 2023,28 Jul 2023,Preferential Offer,,,,,,,BSE,29 Jul 2023
533169,MAN INFRACONSTRUCTION LTD.,Berjis M. Desai,Director,Equity Shares,92775,0.02,Equity Shares,120000,14709600.00,Acquisition,Equity,212775,0.06,28 Jul 2023,28 Jul 2023,29 Jul 2023,Market Purchase,,,,,,,NSE,29 Jul 2023
533282,GRAVITA INDIA LTD.,Gravita Employee Welfare Trust,Trust,Equity Shares,1365940,1.97,Equity Shares,4725,3222025.00,Disposal,Equity,1361215,1.97,27 Jul 2023,27 Jul 2023,28 Jul 2023,Market Sale,,,,,,,NSE,29 Jul 2023
533169,MAN INFRACONSTRUCTION LTD.,Berjis M. Desai,Director,Equity Shares,62775,0.02,Equity Shares,30000,3686700.00,Acquisition,Equity,92775,0.02,28 Jul 2023,28 Jul 2023,29 Jul 2023,Market Purchase,,,,,,,BSE,29 Jul 2023
517467,MARSONS LIMITED,SILVERTOSS SHOPPERS PVT LTD,Promoter Group,Equity Shares,19907487,14.22,Equity Shares,226059,1210022.00,Disposal,Equity,19681428,13.76,17 Jul 2023,27 Jul 2023,28 Jul 2023,Market Sale,,,,,,,BSE,29 Jul 2023
541771,Amin Tannery Ltd,State bank on India Overseas branch kanpur,Connected Person,Equity Shares,32262439,29.88,Equity Shares,32262439,32262439.00,Revoke,Equity,0,0.00,28 Feb 2018,19 Jul 2023,20 Jul 2023,Pledge Released,,,,,,,NA,28 Jul 2023
536974,Captain Polyplast Ltd,CAPTAIN PIPES LTD,Promoter Group,Warrants,0,0.00,Warrants,5000000,23750000.00,Acquisition,Warrants,5000000,14.30,27 Jul 2023,27 Jul 2023,28 Jul 2023,Allotment,,,,,,,NA,28 Jul 2023
532313,MAHINDRA LIFESPACE DEVELOPERS LTD.,Krity Sharma,Designated Person,Equity Shares,0,0.00,Equity Shares,13805,138050.00,Acquisition,Equity,13805,0.01,26 Jul 2023,26 Jul 2023,26 Jul 2023,ESOS,,,,,,,NA,28 Jul 2023
500228,JSW STEEL LTD.,JSW Steel Employees Welfare Trust – ESOP Plan 2016 A/c  PAN: AABTJ3861D  Regd. Add.: Dr. G. Deshmukh Marg  5/A Mumbai -  400026  Contact No.: 022-42861000,Other,Equity Shares,12302637,0.51,Equity Shares,2945,2377002.00,Disposal,Equity,12299692,0.51,26 Jul 2023,26 Jul 2023,27 Jul 2023,Market Sale,,,,,,,NSE,28 Jul 2023
514060,Evergreen Textiles Limited,Vedant Rajiv Podar,Promoter,Equity Shares,451010,9.40,Equity Shares,451010,653960.00,Disposal,Equity,0,0.00,28 Jul 2023,28 Jul 2023,28 Jul 2023,Off Market,,,,,,,BSE,28 Jul 2023
543376,Samor Reality Ltd,AKSHAY SEVANTILAL MEHTA-HUF,Directors Immediate Relative,Equity Shares,30000,0.14,Equity Shares,30000,931750.00,Acquisition,Equity,60000,0.28,19 Jun 2023,26 Jul 2023,28 Jul 2023,Market Purchase,,,,,,,BSE,28 Jul 2023
513446,JSW Ispat Special Products Ltd,JSW STEEL LIMITED,Promoter,(OCPS)Preference Shares,601,0.00,OCPS Preference Shares,340487893,0.00,Acquisition,-,340488494,64.73,24 Jul 2023,24 Jul 2023,26 Jul 2023,Scheme of Amalgamation/Merger/Demerger/Arrangement,,,,,,,NA,28 Jul 2023
500228,JSW STEEL LTD.,JSW Steel Employees Welfare Trust – ESOP Plan 2016 A/c  PAN: AABTJ3861D  Regd. Add.: Dr. G. Deshmukh Marg  5/A Mumbai -  400026  Contact No.: 022-42861000,Other,Equity Shares,12315888,0.51,Equity Shares,13251,10630733.00,Disposal,Equity,12302637,0.51,25 Jul 2023,25 Jul 2023,26 Jul 2023,Market Sale,,,,,,,NSE,28 Jul 2023
500180,HDFC Bank Ltd,Mahesh Shah,Designated Person,Equity Shares,199158,0.00,Equity Shares,8000,13440000.00,Revoke,Equity,199158,0.00,28 Jul 2023,28 Jul 2023,28 Jul 2023,Pledge Released,,,,,,,NA,28 Jul 2023
500228,JSW STEEL LTD.,JSW Steel Employees Welfare Trust – ESOP Plan 2016 A/c  PAN: AABTJ3861D  Regd. Add.: Dr. G. Deshmukh Marg  5/A Mumbai -  400026  Contact No.: 022-42861000,Other,Equity Shares,12299692,0.51,Equity Shares,4498,3572513.00,Disposal,Equity,12295194,0.51,27 Jul 2023,27 Jul 2023,27 Jul 2023,Market Sale,,,,,,,NSE,28 Jul 2023
513446,JSW Ispat Special Products Ltd,JSW STEEL LIMITED,Promoter,Equity Shares,399,0.00,Equity Shares,225934607,0.00,Acquisition,Equity,225935006,48.12,24 Jul 2023,24 Jul 2023,26 Jul 2023,Scheme of Amalgamation/Merger/Demerger/Arrangement,,,,,,,NA,28 Jul 2023
500228,JSW STEEL LTD.,JSW Steel Employees Welfare Trust – OPJ ESOP Plan 2021 A/c  PAN: AABTJ3861D  Regd. Add.: Dr. G. Deshmukh Marg  5/A Mumbai -  400026  Contact No.: 022-42861000,Other,Equity Shares,12295194,0.51,Equity Shares,1139,904716.00,Disposal,Equity,12294055,0.51,27 Jul 2023,27 Jul 2023,27 Jul 2023,Market Sale,,,,,,,NSE,28 Jul 2023
543262,MRP Agro Ltd,PARTH JAIN,Promoter Group,Equity Shares,74290,2.49,Equity Shares,55900,0.00,Acquisition,Equity,130190,4.37,25 Jul 2023,25 Jul 2023,27 Jul 2023,Off Market,,,,,,,BSE,28 Jul 2023
540005,LTIMindtree Ltd,Vikash Gaur,Designated Person,Equity Shares,6643,0.00,Equity Shares,2000,9712536.00,Disposal,Equity,4643,0.00,25 Jul 2023,25 Jul 2023,27 Jul 2023,Market Sale,,,,,,,BSE,28 Jul 2023
500228,JSW STEEL LTD.,JSW Steel Employees Welfare Trust – OPJ ESOP Plan 2021 A/c  PAN: AABTJ3861D  Regd. Add.: Dr. G. Deshmukh Marg  5/A Mumbai -  400026  Contact No.: 022-42861000,Other,Equity Shares,12317326,0.51,Equity Shares,1438,1438.00,Disposal,Equity,12315888,0.51,24 Jul 2023,24 Jul 2023,26 Jul 2023,Off Market,,,,,,,NA,28 Jul 2023
532187,INDUSIND BANK LTD.,SAURABH BHATIANI,Designated Person,Equity Shares,15500,0.00,Equity Shares,300,429000.00,Disposal,Equity,15200,0.00,27 Jul 2023,27 Jul 2023,27 Jul 2023,Market Sale,,,,,,,NSE,28 Jul 2023
500228,JSW STEEL LTD.,JSW Steel Employees Welfare Trust – ESOP Plan 2016 A/c  PAN: AABTJ3861D  Regd. Add.: Dr. G. Deshmukh Marg  5/A Mumbai -  400026  Contact No.: 022-42861000,Other,Equity Shares,12332196,0.51,Equity Shares,14870,2381420.00,Disposal,Equity,12317326,0.51,24 Jul 2023,24 Jul 2023,26 Jul 2023,Off Market,,,,,,,NA,28 Jul 2023
532187,INDUSIND BANK LTD.,C RAMESH BABU,Designated Person,Equity Shares,17920,0.00,Equity Shares,3000,4281000.00,Disposal,Equity,14920,0.00,26 Jul 2023,26 Jul 2023,28 Jul 2023,Market Sale,,,,,,,NSE,28 Jul 2023
532187,INDUSIND BANK LTD.,SAURABH BHATIANI,Designated Person,Equity Shares,16000,0.00,Equity Shares,500,722500.00,Disposal,Equity,15500,0.00,25 Jul 2023,25 Jul 2023,27 Jul 2023,Market Sale,,,,,,,NSE,28 Jul 2023
542772,360 ONE WAM LTD,GEORGE ALEXANDER,Employee,Equity Shares,7648,0.00,Equity Shares,7648,3875539.00,Disposal,Equity,0,0.00,27 Jul 2023,27 Jul 2023,28 Jul 2023,Market Sale,,,,,,,NSE,28 Jul 2023
502137,DECCAN CEMENTS LTD.-$,BANGAR RAJU MANTHENA,Promoter,Equity Shares,1407921,10.05,Equity Shares,1407921,682137725.00,Disposal,Equity,0,0.00,22 Jul 2023,22 Jul 2023,28 Jul 2023,Inheritance,,,,,,,NA,28 Jul 2023
502137,DECCAN CEMENTS LTD.-$,LAKSHMI MANTHENA,Promoter,Equity Shares,284335,2.03,Equity Shares,1407921,682137725.00,Acquisition,Equity,1692256,12.08,22 Jul 2023,22 Jul 2023,28 Jul 2023,Inheritance,,,,,,,NA,28 Jul 2023
540376,Avenue Supermarts Ltd,RAJAN ARORA,Designated Person,Equity Shares,341500,0.05,Equity Shares,1309,4869480.00,Disposal,Equity,340191,0.05,27 Jul 2023,27 Jul 2023,28 Jul 2023,Market Sale,,,,,,,NSE,28 Jul 2023
540376,Avenue Supermarts Ltd,HITESH BACHUBHAI SHAH,Designated Person,Equity Shares,433500,0.06,Equity Shares,500,1850000.00,Disposal,Equity,433000,0.06,28 Jul 2023,28 Jul 2023,28 Jul 2023,Market Sale,,,,,,,NSE,28 Jul 2023
500180,HDFC Bank Ltd,Suresh Pohuja,Designated Person,Equity Shares,62586,0.00,Equity Shares,2000,3396000.00,Disposal,Equity,60586,0.00,25 Jul 2023,25 Jul 2023,26 Jul 2023,Market Sale,,,,,,,NSE,28 Jul 2023
